Project_Size,Project_name,Number_Of_Opened_Issues_Before,Number_Of_Closed_Issues_Before,Time_To-Closed_Issues_Before,Number_Of_Opened_Pulls_Before,Number_Of_Closed_Pulls_Before,Time_To_Closed_Pulls_Before,Number_Of_Merged_Pulls_Before,Time_To_Merged_Pulls_Before,Sonar_Cloud_Adoption_Date,STARS,Project_Age,Programming_Language,Number_Of_Closed_Issues_After,Number_Of_Opened_Issues_After,Time_To-Closed_Issues_After,Number_Of_Opened_Pulls_After,Number_Of_Closed_Pulls_After,Time_To_Closed_Pulls_After,Number_Of_Merged_Pulls_After,Time_To_Merged_Pulls_After,Month_Year_Before,Month_Year_After
1,28,45,361,63560601.25,0,39,2550394.183,32,376026.2167,2021-12-01,16066,47.47043364,6,409,113,38456969.92,0,10,102624.35,9,21971.2,2019-07-01,2022-01-01
1,28,39,327,67113429.17,0,38,3165464.817,31,364199.0667,2021-12-01,16066,47.47043364,6,452,106,55057761.73,0,11,67451.23333,10,24424.78333,2019-08-01,2022-02-01
1,28,37,359,74306512.85,0,51,215125.75,48,81670.35,2021-12-01,16066,47.47043364,6,488,159,53432165.95,0,15,70010.61667,14,70009.55,2019-09-01,2022-03-01
1,28,43,415,59264127.62,0,46,2192268.317,34,238571.5667,2021-12-01,16066,47.47043364,6,477,124,35585028.08,0,18,1089781.15,16,2622.4,2019-10-01,2022-04-01
1,28,44,410,73772019.22,0,62,214019.2167,52,162027.1833,2021-12-01,16066,47.47043364,6,425,106,40671421.5,0,11,116391.8167,10,3080,2019-11-01,2022-05-01
1,28,38,317,41674735.98,0,46,595320.1333,41,51717.8,2021-12-01,16066,47.47043364,6,510,127,47131789.37,0,15,90312.75,14,1620.616667,2019-12-01,2022-06-01
1,28,33,382,52229790.67,0,57,3076566.517,44,221276.35,2021-12-01,16066,47.47043364,6,444,90,36584207,0,15,155190.7,11,768.9,2020-01-01,2022-07-01
1,28,37,434,48944414.62,0,80,2316477.3,65,166143.1667,2021-12-01,16066,47.47043364,6,615,146,46283754.22,0,9,1644.116667,8,1642.833333,2020-02-01,2022-08-01
1,28,41,428,57325110.72,0,46,919275.5667,37,26550.85,2021-12-01,16066,47.47043364,6,505,120,40123364.75,0,13,67849.08333,12,66716.78333,2020-03-01,2022-09-01
1,28,57,553,67201291.22,0,110,1309220.683,96,328101.65,2021-12-01,16066,47.47043364,6,503,138,32894160.68,0,19,296386.3833,17,103820.6833,2020-04-01,2022-10-01
1,28,49,406,65026942.98,0,38,2316605.917,32,147717.95,2021-12-01,16066,47.47043364,6,544,131,32289259.25,0,14,95594.78333,12,861.45,2020-05-01,2022-11-01
1,28,60,440,60831280.55,0,52,6331742.133,39,143579.8,2021-12-01,16066,47.47043364,6,393,119,19170508.32,0,17,9394.8,14,1214.35,2020-06-01,2022-12-01
1,28,60,447,71454310.72,0,38,690446.8667,32,186390.4333,2021-12-01,16066,47.47043364,6,432,139,15266324.02,0,15,7343.266667,12,5589.35,2020-07-01,2023-01-01
1,28,66,419,58286149.67,0,30,669501.45,25,117999.8167,2021-12-01,16066,47.47043364,6,481,152,20529383.68,0,10,970.85,10,970.8333333,2020-08-01,2023-02-01
1,28,61,342,40720176.78,0,27,38573.81667,25,38498.73333,2021-12-01,16066,47.47043364,6,465,162,22742308.48,0,6,1664.75,6,1664.733333,2020-09-01,2023-03-01
1,28,68,430,65077197.07,0,35,87799.23333,32,76311.36667,2021-12-01,16066,47.47043364,6,469,136,14337000.93,0,12,93662.95,12,93662.95,2020-10-01,2023-04-01
1,28,80,431,50168423.05,0,35,58793.98333,35,58793.91667,2021-12-01,16066,47.47043364,6,476,181,24440922.5,0,11,1794.95,11,1794.916667,2020-11-01,2023-05-01
1,28,68,325,45659988.2,0,22,251396.2667,22,251396.2167,2021-12-01,16066,47.47043364,6,472,198,18099893.03,0,7,20225.4,5,470.45,2020-12-01,2023-06-01
1,28,117,394,50588128.32,0,28,28730.13333,25,27052.01667,2021-12-01,16066,47.47043364,6,431,161,12671558.73,0,12,3659.533333,12,3659.516667,2021-01-01,2023-07-01
1,28,69,453,68653784.32,0,40,101910.95,36,83785.75,2021-12-01,16066,47.47043364,6,477,181,16718594.07,0,11,491.0833333,10,483.85,2021-02-01,2023-08-01
1,28,107,532,79846737.92,0,36,243207.1833,35,93900,2021-12-01,16066,47.47043364,6,520,168,18790716.22,0,17,863.7333333,16,859.9666667,2021-03-01,2023-09-01
1,28,107,407,53307774.9,0,37,135184.1667,36,126385.2,2021-12-01,16066,47.47043364,6,463,218,12635846.68,0,14,95927.65,9,680.1333333,2021-04-01,2023-10-01
1,28,109,457,59087870.38,0,23,20374.78333,22,20183.53333,2021-12-01,16066,47.47043364,6,443,192,10788299.63,0,19,48343.96667,18,5115.633333,2021-05-01,2023-11-01
1,28,95,466,44340475.8,0,41,332758.85,36,292986.3333,2021-12-01,16066,47.47043364,6,319,108,6723765.75,0,10,7276.7,9,1494.916667,2021-06-01,2023-12-01
1,28,84,474,64521320.43,0,26,108712.9667,25,96885.53333,2021-12-01,16066,47.47043364,6,428,233,7661585.467,0,14,7130.333333,13,7034.15,2021-07-01,2024-01-01
1,28,77,434,48837799.38,0,33,438884.3,26,77962.25,2021-12-01,16066,47.47043364,6,474,242,8131682.633,0,10,5542.883333,10,5542.883333,2021-08-01,2024-02-01
1,28,96,594,61503535.77,0,30,158329.2833,28,157607.4667,2021-12-01,16066,47.47043364,6,467,208,5802321.283,0,10,780.1833333,10,780.1833333,2021-09-01,2024-03-01
1,28,102,534,42112291.03,0,33,718451.8,24,35391.45,2021-12-01,16066,47.47043364,6,453,284,4165091.95,0,12,43552.81667,11,41133.48333,2021-10-01,2024-04-01
1,28,127,592,66068254.72,0,27,30279.1,22,25070.83333,2021-12-01,16066,47.47043364,6,333,268,981805.85,0,17,25982.65,16,25982.3,2021-11-01,2024-05-01
